Predicted,Text
Fake,"Malabar panchangathil, oru KALA SARPA YOGAM kaanunnu 2020 february muthal saptha grahangale RAAHUVUM KETHUVUM Bhandichirikkuna KAARAGRUHA VAASAM JULY 16n Sooryan Karkitaka RAASIYIL Kayarunnathote  ANDHYAMAAVUM... !!!"
original,??? ????? ?????? ?????? ? ?????? ?????o ????? ???? ?????? ??????? ????????? ??????????? ?????? ????? ?????? ?????? ?????? ???? ???????? ???? ???????? ??????? ??????? ????????????? ???? ????? ??? ?????? ??? ??????? ?????
original,Pravasikalanallo
Fake,Thangalude  vaku  bhalikatte
Fake,Ee partyil kazhivilla aruila
original,???? ??????? ????? ?????? ???????.... ?????? ????? ??? ????? ???? ???????????????... ????? ???????? ??????????????????
original,????? ?????? ???? ??? ??? ????????????? ??????? ??? ?????????
original,Thithithara.  Thy
original,Athigaaaram enghane dhurubayogikkam enna gaveshanathilaaanu pinanaaariyum cpmum<br><br>Anubhavicho
original,Eee koppan enthanu katti koottunnathu... kastam...
Fake,No where in this world will happen such a senseless thing while people are daily dying due to covid.. shame utterly shame
Fake,????? ????????????? ????????? ?????? ???? ???????????..
Fake,Nuclear bomb itu Chinese administrators ne kolluka athanu veandath
original,?????? ???????????? ??????? ?????? ??????????????.
Fake,"??????? ??? ????????????? ????????? ?????, ????????????? ??????? ????????? namban ????????"
original,Schoolugal mathram endhinu adakunnu ????
Fake,????????????? ????? ????????????????....... ?????????? ??????? ????? ??????? ?????????? ?????????????????.... ????????? ????? ????? ?????? ??????..... ?????? ??? ???? ???????? ???????????
Fake,"America funded, Chinese operated,and Europe profited we always.........3g"
Fake,"Janangal <a href=""http://bodhavanmarayirikkunnu.social/"">bodhavanmarayirikkunnu.social</a> distance,mask using nannayi nadakkunnund ipol wordil.ath kondanu corona illatheyavunnath .allathe thanneyang <a href=""http://povilla.health/"">povilla.health</a> workersinte pravarthanam abhinanthanarhamanu...chila meghalakalil iniyum classukal anivaryamanu.nannayi sajan achaya..nalla oru sub ayirunnu...good luck."
Fake,Donald Trump brought lot of facts  to light   but the world rejected
original,???????? ?? ?? ?? ??????? ????? ?????? ????? omricron ????? ????? ????? ????????? ?????? ?????? ???
Fake,"WHO ???????? ?????, ???? ??? ???????????? ????? ????????? ?????? ?????????? ????????????... ???????? ???????????????? ????? ?????????????????????????......"
original,??????????? ????????? ???????
Fake,Chinayude chathi thanne
original,?????????? ??????????? ????? ??? ??????? ????????
Fake,??? ??? ????? ??????? ?????????? ??????????????   ??????????? ???? ????? ?????? ??????? ???? ???????? ?????????? ??????? ??? ???????? ???? ??????? ?????? ???????? ?????? ??????? ??????????????????? 100%??????  ??? ??????? ????  ???????????? ???????? ???? ???????? ??? ????? ??????? ???? ????????????
original,?????????????? ?????????? ????? ??
Fake,????????????? ???????? ?????? ?????? ?????????????? ????? ?????? ???????.
Fake,The prostutter cahanal?
original,Communist ???????.... ??????? ???????...... ?....
Fake,This kaikottikali not thiruvathira Kali which use to be conducted on auspices thiruvathira festival.
Fake,?? ???????????????? ???? ???????? ????? ????? corona ???????? god of pachari paranjath
Fake,????????? ?????????? ??????????? ????? ??????? ??????????? ?????? ???????? ???????????? ????????? ???????? ???????? ?????? ???????????? ???????? ??????? ?????????.... ???????????
original,Pravasikale itra karuthalode kaanuna vere ethu sarkarund. Nattil ellavarkum kovid vannalum otta pravasikkum vararuth.
original,????????????? ?????????? ??????? ???????????..<br>??? ????????? ???????????...
original,??????? ??????? ???? ?????? ????????????? ?????? ?? ????????? ?????? ???? ???????? ???? ????????? ??
Fake,????? verupich konn
Fake,"Big  Salute  Jacob sir,  Big  Salute Mohanan  Vaidyar."
Fake,???? ????? ????????? ??????? ???????? ?????? ??????????.
original,?????? ???
original,?????? kammikal ??? ?????? ???????????? ????? ?????....
original,?????? ?????? ???????? ?????? ??????
original,????????? ??????????
original,?????? ?????? ????????? ????????????? ???? ???????<br>?????? ????????? ??????????? ??????????
Fake,??????  ??????????  ?????????  corana ???? ????? ?????????? ???????????? covid ????? ????????????????.
Fake,"Paavapettavan cash loan eduthu kallyanam nadathiyale corona varu,  party paripadik corona varilla,  karanm corona polum thottupovum"
Fake,"There have been 2,337 cases of coronavirus infections reported in Russia so far and 17 deaths."
original,?????? ??????????? ??
original,??????? ?????????????? ????
original,Youngsters keralthil vannalea without any party <br>Keralam gods own country akathullu
original,????????... ?????? ????????????... ??????? ???????????? ????????? ?????????
original,???? ???? ?????
original,????????????? ?????? ????????????? ???????????
Fake,"Very correct!  Not 3 countries only as you mentioned.  It&#39;s a total of 6 countries. <br>Just see the Corona fatalities in Communist or Communist supporting Countries, China, Cuba, Russia, Laos, Vietnam, N.Korea,  Its death rate is very few in numbers. some countries have the death rate is only still in single digits.<br>In the case of Kerala,  ( also a communist ruling state) I heard the news from a channel,  (I don&#39;t know it is true) that China is planning to send medicine thru Cuba).<br>China just wants to destroy Europe and The USA ( westerners) and its allies including Israel.<br>Now China is progressing, in all respect.  They Exported Corona to the world and now they exporting Corona protective pieces of equipment to the world."
original,"Vivaram ullavan otta oruthanum ille? Ee parrtyil, petti adiyum ,kittum Nalla varaikal"
original,"E,pattu ketu dance practice cheathvar de avastha...?"
Fake,"???? ??????? ???????? ????? ????????????, ???????????? ????????? ???????? ????? ????????? ??????? ???????? ?????????????, ??? ????????? ?????? ??????? ??? ??????????????, ??? ?????? ????????? ??????? ????????????????? ????? ??????? ?????????, ??? ????? ??? ??????? ??????????????????, ??????? ????????? ??????, ????????? ????, ??????, ?????????? ????, ??? ???????? ??????? ??????????????, ?????????????, ??? ?????? ??????????????????, ???? ????"
Fake,???? ???????? ?????? ???? ??? ???? ?????? ??????... ????????.. ??????? ????????? ????????????? ???
Fake,"????? ???????????? ?????? ???????? . ????? , ????????? ????? ????? ,  ???? ????? ????? . . ????? ????? ????? ??????????? . ?????? ???????? ?????? ?????? ."
Fake,China thanne Srishtticha Jaivaayudham. China thanne illathakkunnu. Planning thanneyanu.??
Fake,Koronakku samanam varunnathu vare karsana niyanthranam nadappakkuka thamne venam
Fake,"???????????  ????????? ??? ?????????  ??????, ??????????????????????  ?????"
original,????????????? ?????? ????? ?????? ?????? ???? ??????? ????? ?????? ????? ?????? ????????..
Fake,????? ???????  ????????? ??? ? ???? ???????????? ????? ???????? ??? ??????
original,Ulupillatha chettakalu.....
original,??????? ??????????? ????? ??????? ?????? ????? ??????????? blood clottin ???????. ?????? ???????....  ??? ??????? ?????????????? ??????? ??? ????????? ???
original,50.000. ??? ????? ???? ???? ????<br>????????? ?????????? ?????? ?????<br>????? ?????????????????
Fake,???????????? ????????? ??? ?????? ???? ???????.
original,CPM NO PROBLEM
Fake,Ninakk yetra tandayan maira sangi
original,"????? ???????????????, ?????????? ?????????????? ?????? ????????? ?????????????????.?????.... ????? ?????????? ?????? ?????????????? ???? ??????????????? ????????????????????"
Fake,?????? ??????????????? ????
Fake,Well explained. Thanks ? please follow it up
original,?????? ????? ?????????? ?????? ???? ???????? ????????? ????? ????? ??????? ????? ??????????... ??????? ??????? ???????????????? ??? ??????? ????? ???????? ????????????? ??????... ??? ???????? ?????? ?????????? ?????? ???? ??????? ?????????????? ??? ?????? ?? ????????????? ????...
Fake,????? ?????? ! ???????  ????????? ?????????? ???? 1152 ???? ????????? . ?????? ????? ! ?????? ??? ??????? ??????? ???????????? ??? ??????? ??????? ????????????? ???????? !
original,??????? ?????????? ?????? ???? ???????
Fake,Half dislike und
Fake,Go china go corona...
Fake,? ????????? ???? ???????. ??????? ??????? ?????????? ??? ?????? ? ????????? ????????????
Fake,????????? ???????? ??? ?????? ????????? 50 ???????? ??? ?????? ????? ????? ???? ????? ??? ?????.
original,Thiruvadira kalichu covidina thurathiya pinarayi sarkkar kashttam
original,Marunadantea puthiyakandu<br>Pidutham Nanayirikunu Bayanghara kazive Itheallam<br>Anghinea Undakunu
Fake,?????? ??????  ???? ??????  ??? ????????? ??????? ??????????? ???
Fake,"Edoo bhoomiyil Ella kalathum virus kaluda akramanam manushya Rashikk undayittund,, athunnum biological ware allla,"
original,Ingane ee government oronnu kaanichu koottiyal adutha election vote cheyyan keralathil aarum jeevanode kaanilla.. ellathineyum corona kondupoyi kaanum
Fake,?????????? ???? ????? ?????????.
original,????? ??? 30 ?????????? ?????? ????.
original,Health minister is alive......... National waste
Fake,????? ??????????  ?????????????  ????????? ??????? ?????????????? ? ???????? ?????????  ??????????????????  ???? ????????? ????????????  ?????? ????? ??? ?????????? ???????? ?????? ??????? ?????   ??? ???????????? ????????
original,????? ??????? ??????????
Fake,"Channelukare ??????? ??????? ????????  interview chethu ?????? ??????????  ?????? ??????? ????????? ?????...<br>??? ???? food ???????? ??? coronayum ????????? ??????? ?????????, ??????? ??????? ???? ?????? ????????????, ??? ???? ?????? ?????? ????? degree ????????"
original,???? kovid ????? ????? ??
Fake,?????? ????....... ??????..... ???... <br><br>???? ???????????????..... ??????... ??????????
Fake,"Ivarkethire paranjal ,paranjavar sangikal , anubhavam guru"
Fake,???????????? ? ????? ??????? ??????? ????? ????? ????? ??????? ??? ???????
Fake,"Yes true. It is mysterious.  <br>So in the coming days, china will be the super power both in the terms military and economic power."
Fake,What about WHO ?
original,??????? ??????? ?????? ?????  ???? ??????????? ???????????? ????? ???????????? ????? ?????
original,????? ????????? ??? ?????? ???? ??????? ????????.... ????????????? ???????
Fake,?????????? ?????? ????????????? ???????? ???????. ?????? 153 ???????????? ?????
Fake,Sathyam ayi varatte
original,??? ????? ?????? ????
original,???  ???????? ?????????????  kovid19....
original,CPM <br>Corona<br>Parathunna<br>Marxistukar ????
original,Kashtam
Fake,"China has created this Virous and they have the antidote. This is the weapon they tried  <br> To use against  India and US ,  but we will come back strongly."
Fake,??? ??????????? ????
original,"????????? ?????? ????, ??????? ????... ???????????... ????? ??"
original,?????? ?????? ??????????....
Fake,?????????????? ????? ????
original,??????? ????????? ???? ?????? ????? ????????? ????????? ??? ??? ??????? q
Fake,Very bad anchor.We can believe Indian scientists but not MM.
Fake,Marunadanum velivundayi may 19 nu 5 lakhs patients and 38000 death ennu evide prediction nadathiyalaneer atu nadathiya date March 23 ... remeber that ...
Fake,All are well professionally planned. <br>??? ?????? ??? ???????????? ????????? ?????? ???.
Fake,???????? ??????? .. ??????????? ????? ???? ????? ?????????? ????? ?????????????? ..??
Fake,China most dangerous nation in the world
Fake,Enthayalum viplavathinte ragavum thalavumokke avaru maatippidichittund...
original,???????? ????????????? ??????? ????? ???
original,Ee varshathe mikacha comedy ?
Fake,???????? ?????????????? ?????? ????????????? ????? ????. ? ????? ?????? ????????? ??????? ?????????????????. ??? ???????????? ???.
Fake,IMA ???? ??????? ????? ???????? ??????? ??????????????????? ???????? ?????? ???????????? ????? ???????????????? ????????????????? ???????????? ??????? ???????????? ?????????????? ??????
original,Deeranu maranum onne olluda
original,Nalla role model government
Fake,"No doubt this evil virus was man made ,that&#39;s why it changes  various ways. <br>Chinese government must own up to what they were planning. <br>What happened to the doctor who first confirmed this virus,where is he .<br>The wet meat market is a easy way out for Chinese to blame, then why have these kind of disgusting markets. <br>The whole world is taken for fools by the Chinese they must let other countries investigate in Chinese soil to find the truth.<br>So based on this report America is also to blame for providing support in finance and other means ."
original,america oru button amarthiyal lookha rajiyanghal kathi chambalakhumennu pandokhey paranchu keyttu mookine thumbilulla kothukhine adichu kollan kayinchenkhil
Fake,??????? ???????? ????? ????? ????? WHO ???
original,Ithano purokamanam Saaaaaakale
original,??????????? ?????????? ??????
Fake,?????? ???? ????? vakavedham
original,?????? ?????? ????????? ??? ?????? ????????????? ????? ?????? ???????.. ?????? ???????? ?????? ???? ????? ?????????????
original,??? ?????? ??? ???????? ????????? ????????.????????? ????? ????? ????? ????????.?????? ????? ????? ???????????? ???? ?????????? .2024 ??? ?????? ???????? ???? ??????? ????????
Fake,"Before you hear what these pimps have to say, read the factsheet published by companies"
Fake,??? ?? ?????  ??? ??????? ?????? ??????? ?????? ?
Fake,ithu manapoorvam anu...janangale jagradha
original,????????? ????????..?<br><br>????????????? ??? ?????????..
original,Avanmarkke endeum avaloo chattakal<br>Janagal viddikal.
Fake,?????????? ?? ??????... ???????...
Fake,????? ??????????????? ?????? ??????????? ?????? .......???????????????  ???? ??????????. ?????????? ????.
original,?? ??????????? ????? ?????????? ?????? ?????????? ???? ????????? ????? ???????? ??????? ??????? ????? ?????????? ?????????? ?????? ????? ?????? ???????? ?????? ??? ????? ?????????? ????? ??????  ???????? ????? ?????? ?????? ????????? ???????????? ??????? ?? ?????? ???? ??????? ???????? <br>????? ?????????? ?????? ?????????? ?????? ????...
original,???????? ??? ???? ?????? ?????? ???????? ?????????? ?????????? ????????? ???? ??? ?????? ??? ???????? ????????? ?????? ????????????
Fake,"The most selfish, most treacherous, the most arrogant, the most quarrelsome, the most cantankerous, the worst untrustworthy, the most shameless copy cat, the worst and the most unreliable, the number one backstabber, the most greedy and the number one bully in the present free world and the one and only chuntry which likes to have territorial disputes with any every country it shares borders with! that&#39;s what china.s is and pardon me please if I am proved wrong!"
Fake,Father don&#39
Fake,???? ?????? ??????? ?????? ???? ????? ??????? ???????
original,???????????  ??????????? ???????????
Fake,????????? ??????? ?????????? ???????? ???????? ????????? ????????????? ????
Fake,"Edo  anchoree...thaan   enthina  parihasikkunnathu??  If  they  can  not  prove  it  ,then u  can...before   they prove how  u can  insult  them?"
original,90% percentge ????????? ???????? ????????? ???
original,??????? ??? ????? ?????. ?????? ??? ??? ?
Fake,???? ??????????? ???? ??????? ????  ?????? ?????????? ????
original,??? ?????????? ???????????? ?????? ???? ??????? ??????? ?????? ??????????? ?????
Fake,"Naturopaths very well know about Allopathy-the utter nonsense ie, suppressing and also harmful treatment by giving palliative chemical drugs. Modern medicine cannot cure any disease even viral fever, simple coryza etc. It Suppresses to become Allergic Rhinitis, Asthma, Nipah, Corona... and the like. All these basically come from simple Viral fever. Then is it a treatment?"
original,??????
Fake,Thank you sir..????
Fake,??? ??? ????????????? ??????? ???... ??????
original,???????????????? ????? ????????????? ?????
original,???? ??????? ?????? ??? ?????????
original,??? ???????????? ?????...<br>??????????????? ??? ???????????? ????????????..??????? ?????????<br> ????? ????
original,"?????? 19  ????????????? ??????????????? ?????? ???????????. ???????  ??????????????? , ???????????????? ?????? ????????????????? ????????????   ??????  ????????????? ??????? ??????????, ????? ???????? ?????????????? ??????? ???? ???????, ???????? ?? ???????????? ???? ???????????  ?????????  ???????? ???????????? ???????  ??????"
original,Allenkilum Eppozhum  Thiruvathirayanallo Nadathunnathu
original,???????
original,Pinaray prahasanam
original,??????????? ??? ?????????? ??????? ??????? ??????????????? ?????????????????  ??????? ????????? ????.. ????????????? ?????? ?????????.. Risk ???????????? ????????? ??? ??????? ????????
Fake,IVATTAKALKK<br>ENDHUMAKAMALLO<br>VOTU CHEYYUNNAVARKK<br>KILIPOYI?
Fake,Let us pray to God
original,???????????? ?????? ?????? ??????? ???????? ?????? ??? ?? ???? ????? ?????? ???????????? ??????? ???????????
Fake,??? ??? ?
original,???????????????? ??????????? ??????????
original,??? ?????? ???????? ??????? ???????? ?????? ????? ??????????? ??? ??????? ?????? ??? ????? ????? ??????????.....
Fake,Sound kollilla.lediesi te sound pole
Fake,CPM criminals are ruling Kerala and they will go any extent to do such unscrupulous activites
original,???????? ??????????
original,????????? ??????? ????? ???? ?????????? ????????? ???? ???????????
original,????????? ?????????????? ??????? ???????????????? ?????? ??? ?????????? ?????. ? ??????????? ??????????? ???? ??????? ??????? ????? ????????? ????? ??????????? ???? ?????? ????????? ??? ?????? ok
Fake,??? 2013?????????????? 700????? ??? ????? ????? ????????? ?????
Fake,Appol randarzcha aalukal marichote alle?
Fake,????? ??????? ????????????....?????? ???????????.????????? ??????...
Fake,??? ?????????????? ??????? ?????? ???????? ?????????
original,????? ???
original,Next ???????????????? ?????????? ??????? ???????.
original,.????? ????? ?????????????.... ?????? ?????????  ?
Fake,"Stupid Malayalam media. Keep supporting the colonists. There is no virus, whoever believes about virus just believing the stupid news channels."
original,????? ????????? ??? ?????? ???? ??????? ????????.... ????????????? ??????? ???
original,???????? ?
original,?????????? ??????
original,???????????? ???????? ?????? ??? ??????????????? ???????
Fake,???????? ???? ???
Fake,Eduthond poda oole
original,????????? ??????????
original,??????? ??????????. ????????? ????? ??????????? ?????..
original,????????????? ??????? ?????? ????????????? ???? ??? ?????? ??????????? ??????? ??????? ??????
original,CPIM=BJP<br>MODI=PINARAY
original,???????????? ???????? ?????????
original,Pedi venda jagratha mathi.
original,??????????????=50<br>???????????=50<br>?????????????=500<br><br>?????? ???????????????? ???????????? ????????=550<br><br>??? ???????????
Fake,?????????? ???? ???????. ????????????? ?????????? covid ?????? ????????????????!??? ?????? ??????????? ?????? ???????????????.???? ???????????? ??????????? ????????. ????? ???????? ?????? ??????????????? ?.
Fake,??? ????? ???????. <br>.. ?????? ???????? ???? ????? 19????? ?????? ????????? ????????????????... ??????. ?????? ????????????????... ????..
Fake,?  ????  ?????????  ???????????  ????????????
original,??????? ??????? ??????? ????? ?
Fake,I liked the way of presentation. The clips and cut paste.
original,?????? ??????????? ?????? ???????? ????? ?????? ??????. ????????. ??????????? ?????? ???????????????? ??????. ????? ???? 75 ?? 150 ????? ???????? ???? ???
original,???? ??????????????? ??????? ldf
Fake,China Poorimakkal Puzhutha Thalleyolikal ?????
original,Kashtam thanne ... ??
Fake,"International conspiracy used  China as a tool to destroy the nation, one world government starting with Corona, international one world agenda !!!!??"
original,?? ???? ????? ??? ???????  ???????? ???? ??????????????? ????? ??? ???????????? ????????
original,Aduppilum thooram
Fake,???. ????? ???????? ???? ????????
Fake,???????.. ????????????? ?????? ?????????. ? ?????? ????? ??????????. ????? ???????? ????. ??? ?????????. ????? ???????????... pleas
Fake,??????? ???????????? ???????????? ????? ???????? ???? ?????? ?????????? ?????????????? ??????????.
original,Ithrayum adhipadhicha oru partyyy
original,?????????? 150 ???????? &quot
Fake,???????
Fake,?????????? ??????????????????????? ??????? ??????? ???????????? ??????????? ???? ??????????? ????????????. ???????? ?????????????????? ??????????.
original,lokethengum chavattukottayilekk valicherinja ee party evde shobikkana
original,?????????? ???????? ??????? ?????? ????? ????????????????? ??? ??????? ?????? ???? ?????????? ??????? ?????? ????? ?????? ???????????????
Fake,????  ?????? ???? ??????...
Fake,??? ????????? ????? ?????????? ?????????????
original,??? ??? ??????? ?????? ????? trivandrum  vare ethy?
Fake,?????? ??????? ? ?????? ????????? ???????????? ??????????? ????? ?????? ??????????... something ????.....
Fake,It is very easy to defeat china ....don&#39
Fake,"??????? ??????? ???????????????????????? ??????????, ??????? ????? !!!"
Fake,???????? ???????? ??? ????????? ??????????????.. ???????? sir
original,"???? ???????????? ????? ?????????????????????,,,? ??? ??????????? ? ?????? ??????????,,,... ?? ????????????  Kejri.. ?????? ???????? ??????? ?????? ?????? ??????,,,, ??? ???? ????? ???????????,,, ?????? ?????????????"
original,????????? ????????????????? ?????..........
original,?????? ?????? ??????? ?????? ??????????? .??????????  ?????????? ????????? ??????????
Fake,Enthe Useless Vijayaaa???
Fake,"Thakyou, sir??"
original,????? ??? ??????? ?????? ????? ??? ??????????? ????? ???? ???? ?????? ?????? ?????? ??????
Fake,???????????????????? ????? ???????? ??????? ???????????????????? ????? ????????????? ??? ??? ?????.
original,vidagdar ethiyallo ????????
Fake,This woke me up to the unpleasant truth of how biased we are in our thinking. Many were and are still critical of the Tablighi Jamaat meeting conducted in Delhi during the beginning of the Covid crisis.  But are we equally vehement in criticizing the huge crowds gathered during the Kumbh ?
original,???????? ????????? ?????? Something fishyyyy
original,?? ?? ?? ??  ???????   ????????
Fake,Avaru thanne undakki.. appol  athinte medecen  avarkku ariyam
original,? ??????? ???? ???????????. ????????????? ???????? ?????? ??????????????.
Fake,?????????? ??????? ??????? ????????? ???????? ?????? ????? ??? ???????????
Fake,"Go and research how China deals with COVID-19 they not only depend on morden medicine but also used their traditional Chinese medicine to tackle with covid-19 in India we do not value our traditional knowledge you go and check Germany how they are promoting Ayurveda and other alternative medicine in their country along with modern medicine,"
original,100% literacy ?
original,???... Educated ???..
Fake,"????? ??????? ???????? ??????? ?????????,epol ??????? never mind,"
original,????????  ????? ????????  ??????????????? ??????  ?????... ???
original,Nalla ombiya song
Fake,S  point good
Fake,"?????? ????????????? ???????????? ????? ???? ??????? ????? ??? ????????? ??????????, ?????? ?????? ????????? ????.??????? ???????????.? ????????????????????????.????? ???????????? ????? ????????.???."
Fake,Trump was True
original,?????. ???? ???????? ??????? ????????????.
Fake,"Well presented, to the point"
original,???????? ????????? ????...
original,??? ? ????? ??????????????? ????? ??????? ???????? ????? ????? ?????????? ?????? ?????? ???????????? . ?????? ??????????? ????? ? ??? ???????? ?????????? ?????????? ????????? ?????. ????? ??? ?????? ????????? ????? ????????? ???????????? ?????? ????????
Fake,??????? ?????? ?????????? ??????? ??????? ?????? ?????? ???? ?????? ?????? ???????? ????? ?????????
original,Ini aryippu Varum veettil vare samoohika akalam paalikkanam.. pakshe njangal roadilirangi thiruvathira nadathum.. maskum samoohika akalavum onnum njangal palikkoolaa.. ennittu lockdown kalipikum adangi otjungi irunnonam..nammudeyokke Oro gathikedu
Fake,Chinese presidents wife is working in WHO top post. This post is only to protect China&#39
Fake,?????? ????????? ???? ???????????????? ??????????......
Fake,??????????? ??????? ?? ?? ?? ??????????????????
original,Police marichappol criket kanddi
Fake,????????? ??????? ?????? ????????.. ????????????? ??????? ??????????????? ??? ????????????????.
Fake,???? ????????? ????? ?????????????????. ????? ??????? ????? ?????????????  ????????? ?????.????????? ??????? ??? ??????
Fake,Oru kayyabatham nattilkarud
Fake,No body is talking about the peoples gatherings in temples
Fake,????? ???????????? ?????????. ??????? ??????? ???????????  ???????????????.
original,??????????? ???????
original,???????????? ????? ?????????? ?
original,???????????????? ???????? ???????
original,Avatharanam  oru rkhsayumilla ore Poli???
Fake,"<a href=""https://www.youtube.com/watch?v=ClIuHSpxIqI&amp;t=14m44s"">14:44</a> Haa ippo manisilayille ?? udayipannu panna <b>*</b>"
Fake,Uff ijjaathi ?
Fake,Achanmaronnum ipo peedppikklye ??????
original,Omicrone kadakk purath ......
Fake,7?? ?????.. ???? ????????? ??????.. ????? ??? ????????... ????? ? ??????? ????????? ????? ? ??????? ?????. ????????..
original,????? ???????????? 1000/- ??? ??????  ?????? ????????....
original,Jayipichatallea anubhavichoooo
original,Pinarayikk adppilum avam ?
Fake,????? ????????? ?????? ???? ?????????? ????????? ????????? ?? ?????? ??????? ?????????????
Fake,???????? ?????? ????????? ??????????.
Fake,?????????????????????????????????????????.????.???????????.
Fake,Good
Fake,??????? ????? ??????????? ???????? ?????????? ?????????????&#39
original,?????????? ??????????   ????????? ??????? ??????   10??  ????????   ????????? ????????    ????????????  ???????
Fake,???? ?????? ????? ???? ??? ???????? ????????????????? ???
original,??????? ???? ??????? ???? ??????????? ??? ???? ???????? ?????? ???? ?????? ??????? -????????? ??????????? ??????? ?????? ??????? ?
original,? ?????????? ????? ??????????? ???
original,????? ????????? ?????? ???????? ???? ???????????? ?????
Fake,China products long lasting ?????....? ?????????? ???? ???????.....
original,"?????? ???????, ???? ??????????, ?????? ???????, ???????????? ?? ??????? ???????? ?????? ?????? ???????. ???? ????? ?????????????? ??????  &quot;??????????&quot;???? ???????????????..."
original,???????? ??
Fake,Sir.....good sir
Fake,???? ?????????????? ??? ????????? ????? ???? ?????? ?????? ???????? ????? ??? ?????????
original,"Bjp, ???????????? ????? ?????????? ????? ??????????????????? ?????????? ???????????? ?????? ?????????? ?????? ?????? ????"
original,Nthu jaagrathaa ????????? ??????? aano
original,buthiyillatha kore yennathine boat cheyith vijayicha njmmal aan sherikum pyottan maar..
original,??????????? ?????? ??????? ???????????????????? ?????????????????? ?????????????? ?????????????
original,"Evideyaayirunnu ee &quot;som nalshaan&quot; itranaal, ente yearly leave naasamaaki naarikal"
original,Kappithaaanund kappithaaan 100% thiruvaathira kali kandaaleee appi iduuuu.<br>Kappithaanu vendi njhanghal kappal vare odikkum ella jillakiludee
original,??????
Fake,Amazing
original,????????????? ????? ????? ??? ??????? ?
Fake,???????? ??????? ???????????????????? ???????? ?????? ?????? ???? ??????????????. ????????? ?????????? ????????? ??? ??????????? ?????? ???????? ????????? ??? ?????? ???????? ????????? ????????? ???????? ?????????? ????? ??????? ??? ??? ??????????? ??????????.
original,"??? ??????? ?????????? ??? ????????? ???????????? ????????. ???? ??? ????????? ????? ????????? ?????. ?????? ????????? ?????? ???????????? ????????? ???? ?????? ?????????? ???????. ????????? ?????? song ??????? ??????.. Social distance, mask ?????? ????? ?????????? ??????????????????...."
Fake,?????? lunky news..
original,????????????????????????????????????????????????????????????
Fake,???????. <br>??????? ???????????? ????????? ??????? ??????? ???????.
original,Kesedukkanam
original,Manaaakadi varum
original,?????? ???????  ???? !!!?
original,Ethe eppo athivyshyam anne
Fake,??????? ??????? : ?????????? ??????? ??????????????<br><br>????????: ?????????????? ?????????? ?????? ????????? ???????? ??????? ?????????? ??????? ????????????????? ????? ???????????? ??????? ?????????. ???????? ??????? ????????? ???????? ???????????????? ?????????.
Fake,"Avaru ee vipatinea nerathea mun kuti kandu precautions <a href=""http://edutuayirunu.so/"">edutuayirunu.so</a> right now they are safe"
Fake,I am very happy to hear things there are alright.
Fake,6 ???????? ?????? 133k ??? ?????? ???? ??????? ???? ?????????
original,???????? ????????????.. ????? ?????? ???????.. ????????
original,Than poada uvvve  than entharinjitan eeechelakkunnadu
original,??????? ?????????? ?????? ??????????? :
Fake,Kooduthal vavvaalukale pachakku thinnaan paranjo
original,Hiyyoooo?????
Fake,?????????????? ????? ???????????? ??????????? ??? ???????????????? ?????????? ?????????????????
original,?????   ?  ??????????????   ???????   ??????  ??????  ????????????  ??
Fake,Korona ivattakalekkal etreyo bhedam ?????
original,???...... ?? ..... ..... ????? ??? ????????......???? ?????? ? ???? ????????? ????????????? ???????????????. ?????????????? ????????????????????? ????????????.????????????????? ???????. ????????? ??????? ???????? ????? ???? ??????? ?????? ?????????.??????????? ??????????? ????????????????? ????????????? .??????? ????????? ????? ???????????? ???????? ?????????????????.
original,33 ???? ??????? ?????? ???? ????. ????????? ???????? ???????????? ?? ??????? ????????? ?????? ??????.?????????? ?????????????? .....????? ??? ?????? ????? ?????? ??????????????? ??????? ???????????? ???????????? ???? ?????? ???????????? ????? ???????? ????????????? ?
Fake,????????? ????????????? ?????????? ???????. ?????? ?????? ?????? ??? ???????????? ?????.
original,Pinarayi bhagavane katholanee??
Fake,"As a communist supporter ,I am shame on myself.  Shame to tell myself as Marxist now."
original,Sagav p jayarjettanu ethire nadapadi ethinayirunnu . Adheham ethayalum ethu polythe song onnum undakichitilla kashttam thanny. E pukazthalil veenupokunna alakarath cm
Fake,????? ??????????? ???? ??? ??????????????? ???????????? ????????? ????? ??????? ?????? ?????????? ??????????.
Fake,Ruling party should be role model to the socity to follow up the covid protocol. If the the cm and health minister is saying honestly ask the crowd including ministers those are participated TVM and kozhikkodu party meeting should be go for quarantine.
original,???????????????? ?????????? ????? ???? ????? ????????? ?????... ??? ??? ????????????? ???? ????? ??????????? ??? ?????? ????? ?????????? ?????????..
original,"&quot;????? ?????? ??????????,<br> ????????????? ????????<br> ??????? ?????????<br> ??????????..!&quot;"
Fake,?????? ????????????? ???????? ??????????????? ?????????? ????........ <br>??? ????????? ?????????? ???????? ?????????????????? ?????... ???????????? ??? ?????? ?????????? ????? ?????????? ???????... ????? ???????? ???????? ????? ?????? ??????????... ????? ???? ????? ?????? ??????????... ??? ????? ??? ??????????
original,EANTHINANU ENGANEYORU NISHKRIYAMAYA  AIKARASHTRA SABHA????????????????
Fake,Not good
Fake,God  will give tragedy and peaceless home  to china
Fake,??????? ??????????? ???????? ?????????? ???? ???????? ?????
Fake,Ithu BBcyilum New york Timesilum vanno??
